135015,2352,58
135015,2326,69
135022,17838,63
135022,17903,74
135044,34865,57
135044,34932,2
135047,27799,61
135047,27893,91
135052,37149,65
135052,37234,89
135057,30781,72
135057,30702,68
135058,-38835,61
135058,-38759,29
135062,17878,8
135062,17872,99
135069,33936
135069,33843,82
135075,20125,76
135075,20183,7
135083,19636,95
135083,19558,7
135086,28672,55
135086,28679,74
135095,8681,78
135095,8607,82
135096,33133,37
135096,33217,9
135115,-40315,38
135115,-40402,82
135124,27078,8
135124,27010,12
135131,-39032,24
135131,-38951,11
135132,24969,42
135132,25035,57
135142,27656,98
135142,27721,9
135146,36820,6
135146,36914,69
135150,4172,41
135150,4092,73
135158,34436,74
135158,34506,85
135159,9596,81
135159,9667,24
135162,38026,14
135162,38014,12
135163,-18031,88
135163,-18115,49
135172,14892
135172,14944,42
135177,23572,85
135177,23579,03
135180,14257,54
135180,14157,99
135190,20435,15
135190,20343,23
135201,3174,07
135201,3251,5
135214,34566,13
135214,34652,1
135230,15625,46
135230,15672,9
135233,15400,56
135233,15313,45
135234,0
135242,23349,72
135242,23298,17
135245,0
135266,1722,25
135266,1652,73
135275,-30142,13
135275,-30163,44
135276,9688,39
135276,9588,91
135287,27918,48
135287,27906,26
135313,22490,02
135313,22398,01
135328,31365,01
135328,31403,88
135331,38884,28
135331,38911,87
135338,-33394,5
135338,-33394,95
135345,34480,18
135345,34500,78
135346,17610,29
135346,17635,26
135349,23171,49
135349,23252,75
135351,13793,2
135351,13720,11
135356,16663,51
135356,16630,98
135364,-40099,38
135364,-40094,81
135395,37538,96
135395,37506,31
135396,10527,27
135396,10590,38
135410,32174,12
135410,32240,31
135415,11195,42
135415,11283,62
135421,36909,11
135421,36931,03
135423,-30002,97
135423,-29924,83
135447,29851,32
135447,29852,57
135449,8482,7
135449,8402,94
135450,3283,72
135450,3220,14
135454,28020,94
135454,28025,05
135459,17272,58
135459,17234,91
135460,36799,67
135460,36805,88
135461,32645,43
135461,32732,46
135463,32112,38
135463,32047,7
135467,36129,43
135467,36088,79
135473,7589,91
135473,7607,72
135481,7612,69
135481,7655,23
135483,9144,3
135483,9091,7
135486,4085,07
135486,4126,82
135489,31755,43
135489,31683,09
135492,26620,85
135492,26651,43
135502,32041,04
135502,31965,71
135503,-8076,19
135503,-8058,7
135509,38012,73
135509,38104,39
135511,9552
135511,9622,16
135518,7966,95
135518,7896,69
135527,25637,56
135527,25683,63
135528,16372,09
135528,16373,64
135532,36973,56
135532,36978,69
135535,26120,39
135535,26214,05
135540,-32712,66
135540,-32726,11
135541,23428,31
135541,23380,91
135548,10477,08
135548,10515,09
135555,34591,57
135555,34618,18
135558,32199,04
135558,32211,37
135563,-38357,23
135563,-38332,1
135568,12577,24
135568,12544,01
135569,6430,94
135569,6467,55
135570,1489,53
135570,1489,76
135576,3661,12
135576,3735,46
135578,16611,61
135578,16604,18
135588,30800,23
135588,30720,92
135591,34763,35
135591,34818,85
135594,20095,01
135594,20176,55
135595,15601,04
135595,15624,68
135597,-7673,4
135597,-7710,53
135604,33238,8
135604,33185,14
135610,-25877,94
135610,-25882,25
135613,-34562,77
135613,-34624,51
135616,17478,88
135616,17553,02
135620,31105,9
135620,31122,12
135627,35661,49
135627,35671,65
135628,34658,83
135628,34676,12
135642,-27763,94
135642,-27817,34
135645,37998,95
135645,38053,7
135650,12354,31
135650,12309,7
135654,8110,08
135654,8190,7
135667,10147,3
135667,10047,36
135676,-26542,21
135676,-26640,12
135696,29241,03
135696,29292,21
135702,20116,3
135702,20116
135704,37964,22
135704,38037,14
135706,17355,36
135706,17312,11
135707,17110,44
135707,17107,65
135712,8483,86
135712,8562,58
135718,34479,36
135718,34544,03
135732,38867,68
135732,38939
135742,-31274,71
135742,-31179,68
135744,27995,81
135744,28077,67
135748,22679,34
135748,22610,02
135749,36947,65
135749,36908,39
135750,33694,5
135750,33700,88
135752,29019,16
135752,29095,06
135759,20922,29
135759,20884,95
135764,31945,85
135764,32020,13
135766,29375,65
135766,29369,21
135768,15646,55
135768,15707,91
135769,20903,99
135769,20831,88
135783,5309,72
135783,5329,67
135788,36793,27
135788,36866,58
135795,37927,7
135795,37951,77
135806,32192,73
135806,32268,97
135807,35430,22
135807,35525,62
135820,34801,98
135820,34848,46
135824,14153,53
135824,14106,72
135834,36952,69
135834,36867,2
135840,26480,5
135840,26471,55
135842,27590,97
135842,27615,88
135848,0
135850,5206,39
135850,5221,26
135851,37847,64
135851,37874,33
135854,23239,46
135854,23240,95
135861,39374,58
135861,39430,89
135871,18996,41
135871,19090,36
135877,40005,45
135877,39985,13
135880,40069,2
135880,40150,45
135911,11039,23
135911,11068,63
135929,26002,89
135929,26093,93
135970,25883,36
135970,25981,26
135993,22006,55
135993,21998,62
136004,1285,34
136004,1367,42
136026,25951,14
136026,25994,8
136073,-32757,92
136073,-32679,07
136081,11952,58
136081,11999,27
136084,20655,44
136084,20741,13
136087,40133,94
136087,40102,54
136126,13899,94
136126,13918,81
136172,35284,81
136172,35186,89
136229,23234,35
136229,23294,44
136263,35420,94
136263,35385,44
136264,34906,11
136264,34817,77
136271,36511,21
136271,36541,32
138553,0
138559,0
138561,0
138562,0
138563,0
138564,0
138565,0
138567,0
138568,0
138569,0
138570,0
138572,0
138573,0
138574,0
138575,0
138576,0
138578,0
138579,0
138580,0
138581,0
138584,0
138585,0
138586,0
138587,0
138588,0
138589,0
138590,0
138592,0
138593,0
138594,0
138596,0
138601,0
138602,0
138603,0
138605,0
138606,0
138608,0
138611,0
138612,0
138613,0
138614,0
138616,0
138617,0
138619,0
138621,0
138622,0
138624,0
138625,0
138630,0
138632,0
138633,0
138637,0
138639,0
138641,0
138643,0
138645,0
138647,0
138650,0
138651,0
138652,0
138653,0
138655,0
138656,0
138658,0
