133410,2
133426,4
133430,2
133434,3
133445,2
133448,1
133467,4
133477,4
133480,1
133524,2
133532,2
133548,2
133549,1
133559,3
133562,1
133574,1
133589,2
133637,3
133639,3
133659,3
133666,2
133668,1
133671,3
133673,4
133694,2
133698,5
133713,4
133717,3
133725,3
133741,3
133750,6
133767,1
133772,1
133778,5
133787,5
133833,6
133850,1
133876,5
133898,3
133923,4
133929,5
133933,5
133941,5
133944,3
133947,1
133961,1
133967,2
133969,3
133982,2
133996,5
134017,4
134025,4
134032,4
134052,2
134075,2
134086,5
134102,2
134134,3
134169,2
134170,4
134178,5
134196,1
134204,1
134227,2
134232,1
134248,4
134263,2
134278,3
134288,3
134295,3
134313,4
134322,4
134341,2
134344,3
134360,5
134369,1
134375,2
134377,1
134398,3
134406,1
134417,1
134420,2
134436,1
134464,2
134470,7
134474,3
134480,3
134491,2
134493,2
134496,5
134539,1
134545,5
134548,5
134558,2
134563,7
134568,2
134579,3
134586,2
134589,4
134596,3
134603,2
134609,2
134619,2
134626,3
134628,4
134643,2
134649,4
134664,2
134680,2
134686,2
134695,3
134709,2
134729,3
134742,3
134748,3
134749,4
134759,4
134772,1
134774,3
134805,1
134806,2
134835,4
134836,1
134846,2
134876,3
134890,2
134893,2
134930,3
134933,2
134940,5
134968,1
134971,6
134988,5
135000,3
