"Сделка номер 309 от 04.04.2006",04.04.06,1208
"Сделка номер 767 от 11.12.2008",11.12.08,85
"Сделка номер 276 от 09.07.2009",09.07.09,1198
"Сделка номер 013 от 12.08.2018",12.08.18,185
"Сделка номер 924 от 13.06.2008",13.06.08,615
"Сделка номер 261 от 29.11.2018",29.11.18,182
"Сделка номер 396 от 21.03.2015",21.03.15,1280
"Сделка номер 277 от 23.01.2012",23.01.12,563
"Сделка номер 360 от 19.11.2009",19.11.09,574
"Сделка номер 632 от 07.08.2010",07.08.10,303
"Сделка номер 269 от 06.02.2007",06.02.07,1655
"Сделка номер 605 от 21.09.2015",21.09.15,113
"Сделка номер 405 от 22.09.2016",22.09.16,165
"Сделка номер 171 от 09.04.2009",09.04.09,107
"Сделка номер 074 от 29.09.2019",29.09.19,1167
"Сделка номер 375 от 10.07.2013",10.07.13,1090
"Сделка номер 350 от 02.08.2014",02.08.14,1322
"Сделка номер 475 от 18.08.2019",18.08.19,748
"Сделка номер 398 от 01.04.2007",01.04.07,735
"Сделка номер 092 от 13.02.2012",13.02.12,576
"Сделка номер 961 от 28.03.2012",28.03.12,561
"Сделка номер 764 от 17.06.2013",17.06.13,1565
"Сделка номер 041 от 21.08.2015",21.08.15,1081
"Сделка номер 580 от 17.06.2012",17.06.12,733
"Сделка номер 353 от 30.08.2010",30.08.10,764
"Сделка номер 862 от 18.05.2007",18.05.07,491
"Сделка номер 053 от 19.01.2020",19.01.20,68
"Сделка номер 217 от 10.06.2008",10.06.08,1292
"Сделка номер 517 от 16.11.2016",16.11.16,126
"Сделка номер 176 от 28.05.2017",28.05.17,857
"Сделка номер 658 от 11.07.2018",11.07.18,306
"Сделка номер 544 от 20.10.2009",20.10.09,158
"Сделка номер 758 от 19.03.2005",19.03.05,1067
"Сделка номер 650 от 01.08.2015",01.08.15,119
"Сделка номер 382 от 03.05.2010",03.05.10,717
"Сделка номер 043 от 23.10.2016",23.10.16,466
"Сделка номер 223 от 02.12.2019",02.12.19,505
"Сделка номер 630 от 03.01.2019",03.01.19,879
"Сделка номер 240 от 26.06.2015",26.06.15,899
"Сделка номер 741 от 05.09.2005",05.09.05,562
"Сделка номер 198 от 18.05.2018",18.05.18,1255
"Сделка номер 123 от 15.08.2018",15.08.18,1020
"Сделка номер 772 от 28.02.2007",28.02.07,720
"Сделка номер 075 от 10.03.2005",10.03.05,303
"Сделка номер 353 от 25.03.2010",25.03.10,303
"Сделка номер 455 от 27.04.2016",27.04.16,665
"Сделка номер 005 от 15.05.2009",15.05.09,919
"Сделка номер 665 от 13.05.2015",13.05.15,1315
"Сделка номер 795 от 09.09.2015",09.09.15,446
"Сделка номер 652 от 27.03.2015",27.03.15,1081
"Сделка номер 886 от 26.01.2019",26.01.19,397
"Сделка номер 342 от 30.07.2009",30.07.09,1667
"Сделка номер 320 от 28.07.2015",28.07.15,1647
"Сделка номер 137 от 20.08.2013",20.08.13,741
"Сделка номер 014 от 18.07.2009",18.07.09,1177
"Сделка номер 010 от 12.09.2014",12.09.14,947
"Сделка номер 092 от 26.11.2017",26.11.17,708
"Сделка номер 208 от 09.06.2018",09.06.18,127
"Сделка номер 024 от 06.07.2014",06.07.14,1114
"Сделка номер 267 от 12.03.2017",12.03.17,1143
"Сделка номер 281 от 15.02.2015",15.02.15,721
"Сделка номер 820 от 07.02.2011",07.02.11,308
"Сделка номер 776 от 15.10.2013",15.10.13,707
"Сделка номер 447 от 20.05.2019",20.05.19,751
"Сделка номер 842 от 03.09.2009",03.09.09,34
"Сделка номер 168 от 14.08.2013",14.08.13,492
"Сделка номер 666 от 21.03.2014",21.03.14,631
"Сделка номер 807 от 19.10.2016",19.10.16,613
"Сделка номер 919 от 24.10.2019",24.10.19,1008
"Сделка номер 462 от 20.07.2006",20.07.06,284
"Сделка номер 381 от 17.07.2008",17.07.08,1217
"Сделка номер 609 от 30.01.2008",30.01.08,994
"Сделка номер 801 от 06.07.2013",06.07.13,155
"Сделка номер 770 от 01.05.2009",01.05.09,1072
"Сделка номер 595 от 24.06.2020",24.06.20,650
"Сделка номер 821 от 22.03.2009",22.03.09,421
"Сделка номер 393 от 15.07.2010",15.07.10,502
"Сделка номер 717 от 21.11.2010",21.11.10,1191
"Сделка номер 191 от 29.03.2021",29.03.21,511
"Сделка номер 373 от 01.12.2011",01.12.11,1630
"Сделка номер 644 от 15.02.2012",15.02.12,709
"Сделка номер 545 от 30.04.2010",30.04.10,1415
"Сделка номер 801 от 21.07.2007",21.07.07,734
"Сделка номер 333 от 12.05.2017",12.05.17,765
"Сделка номер 314 от 21.02.2016",21.02.16,935
"Сделка номер 993 от 07.03.2007",07.03.07,1275
"Сделка номер 421 от 30.08.2018",30.08.18,747
"Сделка номер 079 от 24.03.2009",24.03.09,347
"Сделка номер 332 от 23.08.2013",23.08.13,1548
"Сделка номер 587 от 03.05.2016",03.05.16,327
"Сделка номер 517 от 20.07.2011",20.07.11,1332
"Сделка номер 447 от 15.02.2014",15.02.14,1115
"Сделка номер 509 от 30.09.2014",30.09.14,868
"Сделка номер 410 от 16.05.2010",16.05.10,802
"Сделка номер 745 от 02.03.2015",02.03.15,757
"Сделка номер 389 от 24.05.2013",24.05.13,319
"Сделка номер 532 от 22.07.2016",22.07.16,1315
"Сделка номер 826 от 12.08.2009",12.08.09,1664
"Сделка номер 973 от 12.08.2015",12.08.15,858
"Сделка номер 652 от 16.08.2015",16.08.15,780
"Сделка номер 200 от 25.12.2014",25.12.14,939
"Сделка номер 262 от 10.08.2010",10.08.10,1188
"Сделка номер 454 от 17.03.2009",17.03.09,429
"Сделка номер 346 от 08.08.2012",08.08.12,193
"Сделка номер 832 от 27.02.2013",27.02.13,725
"Сделка номер 165 от 12.02.2020",12.02.20,929
"Сделка номер 407 от 03.12.2009",03.12.09,176
"Сделка номер 641 от 03.01.2008",03.01.08,195
"Сделка номер 355 от 27.08.2015",27.08.15,664
"Сделка номер 448 от 18.11.2014",18.11.14,191
"Сделка номер 836 от 03.12.2013",03.12.13,559
"Сделка номер 535 от 08.04.2019",08.04.19,532
"Сделка номер 519 от 14.02.2006",14.02.06,315
"Сделка номер 745 от 19.08.2007",19.08.07,564
"Сделка номер 391 от 08.11.2020",08.11.20,1080
"Сделка номер 158 от 09.05.2010",09.05.10,1073
"Сделка номер 749 от 05.06.2016",05.06.16,1421
"Сделка номер 058 от 17.06.2007",17.06.07,1264
"Сделка номер 321 от 06.08.2014",06.08.14,1
"Сделка номер 888 от 04.02.2012",04.02.12,825
"Сделка номер 469 от 05.10.2007",05.10.07,1109
"Сделка номер 269 от 08.07.2020",08.07.20,752
"Сделка номер 687 от 19.02.2016",19.02.16,167
"Сделка номер 639 от 27.12.2006",27.12.06,1486
"Сделка номер 711 от 22.07.2010",22.07.10,729
"Сделка номер 890 от 25.02.2018",25.02.18,1464
"Сделка номер 291 от 22.02.2010",22.02.10,301
"Сделка номер 678 от 07.07.2019",07.07.19,1313
"Сделка номер 108 от 18.12.2011",18.12.11,1618
"Сделка номер 884 от 09.01.2015",09.01.15,1194
"Сделка номер 187 от 20.03.2017",20.03.17,1059
"Сделка номер 775 от 09.06.2020",09.06.20,445
"Сделка номер 382 от 27.02.2015",27.02.15,195
"Сделка номер 158 от 16.06.2016",16.06.16,1304
"Сделка номер 957 от 13.03.2006",13.03.06,1121
"Сделка номер 212 от 23.09.2013",23.09.13,1588
"Сделка номер 624 от 23.04.2017",23.04.17,1136
"Сделка номер 862 от 23.05.2015",23.05.15,1016
"Сделка номер 415 от 21.05.2013",21.05.13,1313
"Сделка номер 436 от 12.09.2017",12.09.17,308
"Сделка номер 264 от 09.10.2019",09.10.19,1105
"Сделка номер 770 от 09.01.2020",09.01.20,105
"Сделка номер 846 от 05.10.2009",05.10.09,51
"Сделка номер 619 от 05.10.2018",05.10.18,411
"Сделка номер 490 от 09.10.2018",09.10.18,1211
"Сделка номер 201 от 19.01.2013",19.01.13,526
"Сделка номер 420 от 05.02.2017",05.02.17,889
"Сделка номер 620 от 06.06.2015",06.06.15,136
"Сделка номер 773 от 18.04.2006",18.04.06,749
"Сделка номер 073 от 12.10.2007",12.10.07,932
"Сделка номер 722 от 20.10.2009",20.10.09,1452
"Сделка номер 514 от 24.10.2008",24.10.08,642
"Сделка номер 103 от 13.08.2006",13.08.06,305
"Сделка номер 079 от 28.04.2005",28.04.05,63
"Сделка номер 806 от 20.06.2005",20.06.05,535
"Сделка номер 588 от 20.11.2005",20.11.05,812
"Сделка номер 914 от 13.04.2018",13.04.18,858
"Сделка номер 574 от 14.06.2010",14.06.10,187
"Сделка номер 349 от 21.04.2016",21.04.16,1081
"Сделка номер 770 от 30.03.2010",30.03.10,218
"Сделка номер 342 от 15.08.2016",15.08.16,511
"Сделка номер 577 от 24.09.2005",24.09.05,1424
"Сделка номер 750 от 25.05.2012",25.05.12,1409
"Сделка номер 396 от 08.12.2015",08.12.15,1582
"Сделка номер 179 от 09.08.2009",09.08.09,1174
"Сделка номер 310 от 10.04.2017",10.04.17,1167
"Сделка номер 115 от 04.05.2009",04.05.09,95
"Сделка номер 984 от 25.04.2017",25.04.17,156
"Сделка номер 253 от 20.02.2012",20.02.12,1148
"Сделка номер 821 от 07.04.2013",07.04.13,1064
"Сделка номер 388 от 12.03.2009",12.03.09,480
"Сделка номер 697 от 29.08.2008",29.08.08,863
"Сделка номер 977 от 13.04.2005",13.04.05,796
"Сделка номер 374 от 22.06.2018",22.06.18,728
"Сделка номер 548 от 08.03.2015",08.03.15,977
"Сделка номер 430 от 05.08.2012",05.08.12,685
"Сделка номер 656 от 26.06.2011",26.06.11,804
"Сделка номер 658 от 10.02.2016",10.02.16,281
"Сделка номер 854 от 03.08.2020",03.08.20,169
"Сделка номер 736 от 17.10.2020",17.10.20,1144
"Сделка номер 893 от 17.04.2016",17.04.16,1093
"Сделка номер 098 от 17.05.2006",17.05.06,1231
"Сделка номер 346 от 09.10.2012",09.10.12,498
"Сделка номер 195 от 20.09.2011",20.09.11,1255
"Сделка номер 914 от 17.05.2010",17.05.10,1033
"Сделка номер 215 от 28.09.2020",28.09.20,358
"Сделка номер 709 от 20.06.2012",20.06.12,1010
"Сделка номер 713 от 26.10.2006",26.10.06,1195
"Сделка номер 978 от 30.04.2014",30.04.14,17
"Сделка номер 586 от 07.05.2014",07.05.14,1107
"Сделка номер 933 от 13.05.2018",13.05.18,71
"Сделка номер 154 от 06.08.2019",06.08.19,602
"Сделка номер 063 от 19.06.2012",19.06.12,173
"Сделка номер 757 от 05.05.2018",05.05.18,555
"Сделка номер 749 от 19.04.2006",19.04.06,1674
"Сделка номер 847 от 16.10.2011",16.10.11,392
"Сделка номер 109 от 20.04.2012",20.04.12,24
"Сделка номер 197 от 08.02.2006",08.02.06,542
"Сделка номер 479 от 27.12.2019",27.12.19,428
"Сделка номер 296 от 18.09.2005",18.09.05,16
"Сделка номер 481 от 16.09.2017",16.09.17,638
"Сделка номер 202 от 25.06.2016",25.06.16,962
"Сделка номер 321 от 26.02.2014",26.02.14,1347
"Сделка номер 166 от 09.09.2018",09.09.18,206
"Сделка номер 622 от 05.02.2008",05.02.08,170
"Сделка номер 004 от 11.10.2010",11.10.10,732
"Сделка номер 163 от 08.08.2009",08.08.09,598
"Сделка номер 287 от 26.02.2018",26.02.18,1270
"Сделка номер 558 от 25.08.2017",25.08.17,655
"Сделка номер 627 от 31.12.2014",31.12.14,455
"Сделка номер 549 от 04.06.2018",04.06.18,32
"Сделка номер 269 от 21.08.2012",21.08.12,898
"Сделка номер 877 от 22.03.2021",22.03.21,73
"Сделка номер 236 от 06.11.2006",06.11.06,665
"Сделка номер 617 от 16.11.2015",16.11.15,769
"Сделка номер 797 от 08.05.2018",08.05.18,564
"Сделка номер 220 от 19.06.2012",19.06.12,375
"Сделка номер 938 от 16.11.2018",16.11.18,1374
"Сделка номер 448 от 23.10.2009",23.10.09,1674
"Сделка номер 106 от 22.08.2017",22.08.17,1388
"Сделка номер 614 от 06.10.2007",06.10.07,1680
"Сделка номер 685 от 02.10.2019",02.10.19,880
"Сделка номер 872 от 27.03.2019",27.03.19,368
"Сделка номер 875 от 10.03.2006",10.03.06,388
"Сделка номер 397 от 03.06.2020",03.06.20,162
"Сделка номер 895 от 25.03.2006",25.03.06,1144
"Сделка номер 646 от 10.06.2016",10.06.16,1268
"Сделка номер 370 от 03.09.2009",03.09.09,1292
"Сделка номер 316 от 11.02.2007",11.02.07,436
"Сделка номер 196 от 27.01.2007",27.01.07,1120
"Сделка номер 677 от 03.03.2005",03.03.05,1063
"Сделка номер 354 от 07.06.2019",07.06.19,1124
"Сделка номер 930 от 02.02.2006",02.02.06,231
"Сделка номер 880 от 10.12.2012",10.12.12,1122
"Сделка номер 652 от 25.03.2020",25.03.20,1609
"Сделка номер 778 от 15.06.2016",15.06.16,729
"Сделка номер 271 от 05.08.2007",05.08.07,1280
"Сделка номер 240 от 03.07.2015",03.07.15,1308
"Сделка номер 103 от 25.09.2016",25.09.16,1090
"Сделка номер 072 от 19.06.2008",19.06.08,782
"Сделка номер 725 от 21.05.2017",21.05.17,720
"Сделка номер 178 от 19.09.2005",19.09.05,1190
"Сделка номер 150 от 18.07.2015",18.07.15,705
"Сделка номер 311 от 16.08.2007",16.08.07,1257
"Сделка номер 868 от 14.04.2009",14.04.09,1691
"Сделка номер 061 от 07.09.2010",07.09.10,1019
"Сделка номер 625 от 03.04.2006",03.04.06,543
"Сделка номер 593 от 30.09.2014",30.09.14,2914148
"Сделка номер 727 от 03.02.2018",03.02.18,571
"Сделка номер 949 от 19.12.2008",19.12.08,1058
"Сделка номер 205 от 30.10.2015",30.10.15,1210
"Сделка номер 921 от 30.09.2006",30.09.06,759
"Сделка номер 636 от 25.11.2013",25.11.13,1451
"Сделка номер 317 от 18.05.2018",18.05.18,280
"Сделка номер 897 от 11.04.2011",11.04.11,127
